Date,Time,Lat,Lon
18/1/2026,6:39:4,14.214553,101.179087
18/1/2026,6:39:5,14.214546,101.179075
18/1/2026,6:39:6,14.214538,101.17907
18/1/2026,6:39:7,14.214532,101.179061
18/1/2026,6:39:8,14.214526,101.179052
18/1/2026,6:39:9,14.214517,101.179049
18/1/2026,6:39:10,14.214512,101.179051
18/1/2026,6:39:11,14.214508,101.179049
18/1/2026,6:39:12,14.214502,101.179046
18/1/2026,6:39:13,14.214493,101.17904
18/1/2026,6:39:14,14.214488,101.179039
18/1/2026,6:39:15,14.214482,101.17904
18/1/2026,6:39:16,14.214477,101.179042
18/1/2026,6:39:17,14.214471,101.179044
18/1/2026,6:39:18,14.214466,101.179052
18/1/2026,6:39:19,14.214465,101.179059
18/1/2026,6:39:20,14.214467,101.179061
18/1/2026,6:39:21,14.214471,101.179065
18/1/2026,6:39:22,14.214478,101.179072
18/1/2026,6:39:23,14.214483,101.179075
18/1/2026,6:39:24,14.214491,101.17908
18/1/2026,6:39:25,14.214503,101.179086
18/1/2026,6:39:26,14.214513,101.179095
18/1/2026,6:39:27,14.214517,101.1791
18/1/2026,6:39:28,14.214523,101.179109
18/1/2026,6:39:29,14.214536,101.179116
18/1/2026,6:39:30,14.214541,101.179119
18/1/2026,6:39:31,14.214544,101.17912
18/1/2026,6:39:32,14.214542,101.179123
18/1/2026,6:39:33,14.214545,101.179129
18/1/2026,6:39:34,14.214545,101.179138
18/1/2026,6:39:35,14.214548,101.179148
18/1/2026,6:39:36,14.214551,101.179157
18/1/2026,6:39:37,14.214555,101.179166
18/1/2026,6:39:38,14.214557,101.179175
18/1/2026,6:39:39,14.214564,101.179179
18/1/2026,6:39:40,14.214572,101.179184
18/1/2026,6:39:41,14.214576,101.179188
18/1/2026,6:39:42,14.214579,101.179191
18/1/2026,6:39:43,14.214583,101.179195
18/1/2026,6:39:44,14.214589,101.179202
18/1/2026,6:39:45,14.214592,101.179206
18/1/2026,6:39:46,14.214595,101.179212
18/1/2026,6:39:47,14.214596,101.179218
18/1/2026,6:39:48,14.214594,101.17922
18/1/2026,6:39:49,14.214586,101.179215
18/1/2026,6:39:50,14.214583,101.179212
18/1/2026,6:39:51,14.214583,101.179212
18/1/2026,6:39:52,14.214587,101.179217
18/1/2026,6:39:53,14.214591,101.179222
18/1/2026,6:39:54,14.214595,101.179225
18/1/2026,6:39:55,14.214597,101.179228
18/1/2026,6:39:56,14.2146,101.179231
18/1/2026,6:39:57,14.2146,101.17923
18/1/2026,6:39:58,14.214605,101.17923
18/1/2026,6:39:59,14.214607,101.179232
18/1/2026,6:40:0,14.214608,101.179236
18/1/2026,6:40:1,14.21461,101.179244
18/1/2026,6:40:2,14.214608,101.179254
18/1/2026,6:40:3,14.214607,101.179262
18/1/2026,6:40:4,14.214611,101.179267
18/1/2026,6:40:5,14.214615,101.179269
18/1/2026,6:40:6,14.214621,101.179266
18/1/2026,6:40:7,14.214628,101.179265
18/1/2026,6:40:8,14.214634,101.179267
18/1/2026,6:40:9,14.214638,101.179272
18/1/2026,6:40:10,14.214645,101.179276
18/1/2026,6:40:11,14.214652,101.17928
18/1/2026,6:40:12,14.214656,101.179286
18/1/2026,6:40:13,14.214662,101.179293
18/1/2026,6:40:14,14.214667,101.179299
18/1/2026,6:40:15,14.214672,101.179304
18/1/2026,6:40:16,14.214679,101.179311
18/1/2026,6:40:17,14.214687,101.179319
18/1/2026,6:40:18,14.214695,101.179324
18/1/2026,6:40:19,14.214701,101.179328
18/1/2026,6:40:20,14.214707,101.179336
18/1/2026,6:40:21,14.214714,101.179343
18/1/2026,6:40:22,14.214718,101.179349
18/1/2026,6:40:23,14.214722,101.179354
18/1/2026,6:40:24,14.214726,101.179359
18/1/2026,6:40:25,14.214731,101.179361
18/1/2026,6:40:26,14.214733,101.179363
18/1/2026,6:40:27,14.214734,101.179364
18/1/2026,6:40:28,14.214734,101.179364
18/1/2026,6:40:29,14.214735,101.179363
18/1/2026,6:40:30,14.214735,101.179363
18/1/2026,6:40:31,14.214737,101.179365
18/1/2026,6:40:32,14.21474,101.179367
18/1/2026,6:40:33,14.214744,101.179368
18/1/2026,6:40:34,14.214747,101.179369
18/1/2026,6:40:35,14.214747,101.179368
18/1/2026,6:40:36,14.214747,101.179367
18/1/2026,6:40:37,14.214747,101.179366
18/1/2026,6:40:38,14.214747,101.179365
18/1/2026,6:40:39,14.214748,101.179365
18/1/2026,6:40:40,14.214749,101.179363
18/1/2026,6:40:41,14.214751,101.179361
18/1/2026,6:40:42,14.214755,101.179357
18/1/2026,6:40:43,14.214758,101.179353
18/1/2026,6:40:44,14.214761,101.179348
18/1/2026,6:40:45,14.214761,101.179343
18/1/2026,6:40:46,14.214761,101.179338
18/1/2026,6:40:47,14.214762,101.179333
18/1/2026,6:40:48,14.214759,101.179328
18/1/2026,6:40:49,14.214758,101.179321
18/1/2026,6:40:50,14.214757,101.179314
18/1/2026,6:40:51,14.214754,101.179308
18/1/2026,6:40:52,14.214751,101.179301
18/1/2026,6:40:53,14.214749,101.179296
18/1/2026,6:40:54,14.21475,101.179288
18/1/2026,6:40:55,14.214749,101.179276
18/1/2026,6:40:56,14.214746,101.179267
18/1/2026,6:40:57,14.214743,101.179262
18/1/2026,6:40:58,14.214746,101.179254
18/1/2026,6:40:59,14.214745,101.179246
18/1/2026,6:41:0,14.214744,101.179239
18/1/2026,6:41:1,14.214743,101.179233
18/1/2026,6:41:2,14.214741,101.179226
18/1/2026,6:41:3,14.214739,101.179218
18/1/2026,6:41:4,14.214739,101.179216
18/1/2026,6:41:5,14.214738,101.179217
18/1/2026,6:41:6,14.214737,101.179218
18/1/2026,6:41:7,14.214736,101.179218
18/1/2026,6:41:8,14.214732,101.179214
18/1/2026,6:41:9,14.214728,101.179208
18/1/2026,6:41:10,14.214726,101.179203
18/1/2026,6:41:11,14.214721,101.179198
18/1/2026,6:41:12,14.214715,101.179192
18/1/2026,6:41:13,14.214711,101.179184
18/1/2026,6:41:14,14.214706,101.179177
18/1/2026,6:41:15,14.214698,101.179171
18/1/2026,6:41:16,14.214692,101.17917
18/1/2026,6:41:17,14.214685,101.179172
18/1/2026,6:41:18,14.214674,101.179177
18/1/2026,6:41:19,14.214666,101.179182
18/1/2026,6:41:20,14.214659,101.179186
18/1/2026,6:41:21,14.214654,101.179193
18/1/2026,6:41:22,14.21465,101.179196
18/1/2026,6:41:23,14.214646,101.179196
18/1/2026,6:41:24,14.214641,101.179194
18/1/2026,6:41:25,14.214636,101.179188
18/1/2026,6:41:26,14.214632,101.179183
18/1/2026,6:41:27,14.214629,101.179182
18/1/2026,6:41:28,14.214624,101.179179
18/1/2026,6:41:29,14.214624,101.17918
18/1/2026,6:41:30,14.214624,101.179181
18/1/2026,6:41:31,14.21462,101.179181
18/1/2026,6:41:32,14.214619,101.179182
18/1/2026,6:41:33,14.214623,101.179182
18/1/2026,6:41:34,14.214626,101.179183
18/1/2026,6:41:35,14.214628,101.179182
18/1/2026,6:41:36,14.214628,101.179179
18/1/2026,6:41:37,14.214628,101.179178
18/1/2026,6:41:38,14.214624,101.179178
18/1/2026,6:41:39,14.214617,101.179178
18/1/2026,6:41:40,14.214609,101.179177
18/1/2026,6:41:41,14.214602,101.179174
18/1/2026,6:41:42,14.214596,101.179171
18/1/2026,6:41:43,14.214591,101.179167
18/1/2026,6:41:44,14.214583,101.17916
18/1/2026,6:41:45,14.214575,101.179157
18/1/2026,6:41:46,14.214569,101.179154
18/1/2026,6:41:47,14.214564,101.17915
18/1/2026,6:41:48,14.214557,101.179145
